iter	Passed	Remaining
0	12	12151
1	25	12624
2	36	12053
3	48	12129
4	61	12142
5	72	12064
6	85	12066
7	96	11974
8	109	12109
9	122	12090
10	134	12076
11	146	12035
12	157	11993
13	170	11981
14	182	11982
15	194	11961
16	207	11972
17	218	11933
18	230	11901
19	241	11847
20	254	11850
21	266	11841
22	278	11812
23	290	11803
24	302	11811
25	315	11822
26	327	11811
27	339	11793
28	352	11791
29	364	11781
30	376	11759
31	388	11745
32	401	11762
33	414	11771
34	427	11775
35	439	11758
36	451	11759
37	463	11740
38	476	11737
39	489	11738
40	501	11729
41	514	11730
42	527	11729
43	539	11711
44	552	11720
45	564	11716
46	577	11710
47	590	11702
48	602	11689
49	616	11707
50	628	11701
51	642	11705
52	654	11702
53	667	11686
54	679	11667
55	691	11656
56	702	11625
57	715	11620
58	727	11597
59	739	11585
60	753	11599
61	765	11588
62	778	11585
63	792	11586
64	805	11584
65	819	11599
66	833	11601
67	845	11585
68	856	11555
69	868	11542
70	881	11531
71	893	11510
72	906	11505
73	921	11527
74	936	11555
75	950	11551
76	963	11543
77	976	11543
78	989	11535
79	1002	11531
80	1017	11543
81	1030	11532
82	1043	11524
83	1054	11498
84	1067	11493
85	1079	11473
86	1092	11469
87	1106	11469
88	1119	11459
89	1133	11462
90	1148	11477
91	1163	11479
92	1177	11483
93	1190	11475
94	1203	11462
95	1215	11444
96	1227	11426
97	1240	11420
98	1254	11413
99	1263	11374
100	1275	11357
101	1289	11349
102	1301	11331
103	1315	11336
104	1329	11329
105	1343	11329
106	1356	11325
107	1370	11319
108	1384	11320
109	1396	11302
110	1412	11316
111	1425	11301
112	1436	11279
113	1448	11257
114	1462	11254
115	1475	11242
116	1489	11237
117	1502	11229
118	1517	11233
119	1530	11222
120	1544	11223
121	1560	11233
122	1575	11231
123	1590	11236
124	1605	11236
125	1619	11233
126	1633	11228
127	1648	11230
128	1664	11235
129	1682	11258
130	1698	11263
131	1712	11263
132	1726	11257
133	1741	11254
134	1756	11255
135	1771	11254
136	1787	11259
137	1800	11246
138	1815	11244
139	1831	11253
140	1846	11248
141	1861	11249
